timestamp,open,high,low,close,volume
2003-05-06 00:00:00,1.60633,1.60754,1.60514,1.60589,10066500009.0
2003-05-06 04:00:00,1.60597,1.60757,1.60522,1.60658,10516999983.0
2003-05-06 08:00:00,1.60674,1.61133,1.60629,1.60901,14067106996.0
2003-05-06 12:00:00,1.60889,1.61486,1.60852,1.61411,12873699983.0
2003-05-06 16:00:00,1.61438,1.6186,1.61063,1.61607,74436079938.0
2003-05-06 20:00:00,1.61611,1.61737,1.61275,1.61515,12165989987.0
2003-05-07 00:00:00,1.61511,1.61511,1.61184,1.61234,9576049991.0
2003-05-07 04:00:00,1.61244,1.61544,1.61106,1.61343,10194896978.0
2003-05-07 08:00:00,1.61303,1.61388,1.60638,1.60744,14549870003.0
2003-05-07 12:00:00,1.60687,1.60842,1.59123,1.59128,12390349999.0
2003-05-07 16:00:00,1.59115,1.59859,1.59017,1.59695,75847434922.0
2003-05-07 20:00:00,1.59695,1.5973,1.59326,1.59402,12182319992.0
2003-05-08 00:00:00,1.59403,1.59752,1.59396,1.59693,9944050003.0
2003-05-08 04:00:00,1.59706,1.59873,1.5943,1.59494,10973519980.0
2003-05-08 08:00:00,1.59436,1.60251,1.592,1.59913,13805820004.0
2003-05-08 12:00:00,1.59946,1.60773,1.59919,1.59959,13086797004.0
2003-05-08 16:00:00,1.59971,1.60532,1.59681,1.59951,73707680007.0
2003-05-08 20:00:00,1.59975,1.60269,1.5994,1.60204,12369190001.0
2003-05-09 00:00:00,1.60213,1.60673,1.60019,1.60571,9720619995.0
2003-05-09 04:00:00,1.60573,1.60664,1.60066,1.60487,10741219999.0
2003-05-09 08:00:00,1.60469,1.60934,1.60122,1.60274,14559969979.0
2003-05-09 12:00:00,1.60288,1.60736,1.60092,1.60228,12945016973.0
2003-05-09 16:00:00,1.60179,1.60504,1.60054,1.60377,75409986948.0
2003-05-09 20:00:00,1.60392,1.6049,1.60315,1.6037,5533540014.0
2003-05-11 20:00:00,1.60532,1.61006,1.60531,1.60832,6661599971.0
2003-05-12 00:00:00,1.60817,1.60872,1.60362,1.60811,9974289980.0
2003-05-12 04:00:00,1.60828,1.61059,1.60375,1.61054,10581469993.0
2003-05-12 08:00:00,1.6109,1.61429,1.60658,1.61305,14189920007.0
2003-05-12 12:00:00,1.61302,1.61369,1.60869,1.61043,13153599990.0
2003-05-12 16:00:00,1.61031,1.61216,1.60812,1.60939,75894849997.0
2003-05-12 20:00:00,1.6093,1.61122,1.60751,1.60949,12414366977.0
2003-05-13 00:00:00,1.60939,1.61007,1.60399,1.60537,9530350010.0
2003-05-13 04:00:00,1.60553,1.61148,1.60466,1.60626,10611799992.0
2003-05-13 08:00:00,1.60628,1.60981,1.60466,1.60675,13916269975.0
2003-05-13 12:00:00,1.60717,1.60947,1.60542,1.60765,12871766991.0
2003-05-13 16:00:00,1.60777,1.61098,1.60689,1.60845,76612386938.0
2003-05-13 20:00:00,1.60861,1.6104,1.60754,1.60903,12146946987.0
2003-05-14 00:00:00,1.60911,1.60995,1.60683,1.60868,10040419991.0
2003-05-14 04:00:00,1.6089,1.60942,1.60678,1.60725,11049799977.0
